|6.6.6
in17a_1.tab                                                                                         
           2
T(K)    
   673.000800000000     
   8.08079191920000     
         100
P(bar)  
   30000.0500000000     
   505.049494950000     
         100
           5
rho,kg/m3      vp,km/s        vs,km/s        C1M(HP)        M(HP),vo%     
  3497.247       8.079629       4.549962                NaN            NaN
  3496.739       8.074945       4.547285                NaN            NaN
  3496.418       8.070830       4.545043                NaN            NaN
  3496.119       8.066580       4.542765                NaN            NaN
  3495.179       8.061461       4.539620                NaN            NaN
  3495.347       8.058093       4.538091                NaN            NaN
  3494.707       8.053432       4.535410                NaN            NaN
  3495.409       8.051013       4.534728                NaN            NaN
  3495.587       8.047980       4.533402                NaN            NaN
  3495.133       8.043606       4.531018                NaN            NaN
  3495.646       8.040964       4.530155                NaN            NaN
  3497.479       8.040968       4.531517                NaN            NaN
  3499.843       8.042051       4.533830                NaN            NaN
  3503.428       8.045669       4.538267                NaN            NaN
  3505.336       8.046152       4.540077                NaN            NaN
  3506.716       8.045655       4.541017                NaN            NaN
  3508.972       8.046762       4.543489                NaN            NaN
  3513.289       8.052341       4.549692                NaN            NaN
  3517.783       8.058270       4.556290                NaN            NaN
  3521.020       8.061646       4.560897                NaN            NaN
  3519.511       8.055354       4.557070                NaN            NaN
  3518.031       8.049099       4.553344                NaN            NaN
  3516.567       8.042969       4.549656                NaN            NaN
  3515.037       8.036576       4.545814                NaN            NaN
  3513.557       8.030443       4.542106                NaN            NaN
  3512.050       8.024149       4.538325                NaN            NaN
  3510.548       8.017951       4.534570                NaN            NaN
  3509.050       8.011773       4.530826                NaN            NaN
  3507.592       8.005738       4.527202                NaN            NaN
  3506.133       7.999597       4.523574                NaN            NaN
  3504.623       7.993446       4.519814                NaN            NaN
  3503.172       7.987450       4.516223                NaN            NaN
  3501.745       7.981510       4.512695                NaN            NaN
  3500.342       7.975763       4.509225                NaN            NaN
  3498.897       7.969819       4.505657                NaN            NaN
  3497.414       7.963654       4.502015                NaN            NaN
  3495.953       7.957617       4.498424                NaN            NaN
  3494.465       7.951471       4.494763                NaN            NaN
  3493.039       7.945639       4.491268                NaN            NaN
  3491.577       7.939613       4.487691                NaN            NaN
  3490.222       7.934069       4.484366                NaN            NaN
  3488.317       7.925748       4.479649                NaN            NaN
  3488.572       7.988685       4.528707                NaN            NaN
  3488.398       7.987509       4.527938                NaN            NaN
  3486.960       7.981529       4.524378                NaN            NaN
  3485.598       7.975874       4.521010                NaN            NaN
  3484.179       7.969989       4.517515                NaN            NaN
  3482.682       7.963751       4.513821                NaN            NaN
  3481.305       7.958033       4.510424                NaN            NaN
  3479.912       7.952280       4.507015                NaN            NaN
  3478.555       7.946645       4.503681                NaN            NaN
  3477.170       7.940928       4.500293                NaN            NaN
  3475.743       7.935042       4.496815                NaN            NaN
  3474.409       7.929522       4.493555                NaN            NaN
  3473.090       7.924057       4.490331                NaN            NaN
  3471.683       7.918256       4.486910                NaN            NaN
  3454.697       7.819149       4.474389                NaN            NaN
  3453.295       7.812089       4.471324                NaN            NaN
